id,SentimentScore,SentimentMagnitude
9c580ca06,0.4,4.8
36632f72b,0.4,3.8
186920165,0.1,0.4
4f66a72ef,-0.7,0.7
d8d840693,0.4,3.0
650f2854b,0.6,4.0
005bb92d8,0.2,0.2
ad6387a7e,-0.1,2.4
7b49d0924,0.3,1.9
016dcf8d4,0.7,2.3
a809464ca,0.2,1.0
6846c8719,0.4,0.9
83d36f269,0.5,0.5
9e51267f5,0.2,3.1
0f796d3f9,0.2,2.4
4ec9289df,0.5,1.0
c7338db23,0.3,6.0
920a44cbb,-0.2,3.2
85ff0f493,0.1,1.5
ff96988fc,0.1,1.6
cca1ec6df,-0.8,0.8
cdcd32165,0.3,6.9
b40ce1b96,0.3,2.5
24554cdc8,0.6,1.9
faf4322a0,0.1,1.7
754240b6b,0.0,1.8
8f90bba4c,0.4,0.8
4ce0b81f5,0.4,1.9
cb15b5fb8,0.3,1.5
3501d8f4f,0.0,0.0
14efbbb85,0.4,0.4
03cdd9324,0.2,0.4
a68e8378d,0.0,0.1
f785304ad,0.0,0.0
37ed9080d,0.2,0.4
6a864757b,0.3,2.6
3cc43a157,0.0,0.0
9fab4e65f,0.2,11.8
f824e33a8,0.4,1.5
eb1f799df,-0.1,3.8
ab309dd09,0.8,2.5
147bd18e0,0.0,1.7
b8db25430,-0.2,3.6
0f38033e1,0.4,1.9
fcffea7c0,0.0,1.3
9223ae4c4,0.1,1.5
773243cf2,0.6,1.3
d9175b948,-0.1,0.5
16472756f,0.1,0.7
b278cd182,0.8,3.4
8837fcacc,0.2,1.4
9daa740bb,0.7,0.7
fd23f6a15,0.0,1.2
393d6bda1,0.4,1.8
25d4c7493,0.9,1.8
fc537bc7f,0.3,4.9
7a5b854f0,0.2,0.5
89bec6af3,0.0,1.0
11db3b853,0.0,0.0
f294123c1,0.2,0.2
3f016dcab,0.0,2.2
9a591a8d9,0.1,12.1
04b5f77c0,-0.2,0.2
b6a16ab86,-0.1,4.8
42af80bc3,0.3,9.4
9a32cab94,0.4,2.0
796cc971d,0.3,1.7
c8f5f9120,-0.3,0.7
5b7ead040,0.8,1.6
e90451ea4,0.0,0.5
a7b91a377,0.8,0.8
abbe2568f,0.4,1.9
e7c1eb9ec,0.3,2.1
4c1adfa96,0.3,4.6
44598cf69,0.1,1.8
fcc2ea490,0.1,1.4
b7f7e01c6,0.5,0.5
cabb4127e,0.2,1.1
18556365a,0.3,4.3
27b272e59,0.5,1.0
05312ba72,0.4,2.4
812ec1ab5,0.7,0.7
fa94cdf93,0.5,2.0
e73146163,0.1,5.6
63057be1d,0.0,3.2
dd9ee4a38,-0.2,2.3
838e46496,0.0,0.3
283d93104,0.3,2.3
e46744bb9,0.2,1.9
55f34f8f5,0.4,1.7
2a6bb49f5,0.9,0.9
17c5ded7d,0.0,0.1
d83f60849,0.6,5.3
81e692e30,0.3,2.6
25a834a2e,0.0,1.1
e27fa93d3,0.4,0.4
8cb325d19,0.5,1.7
fa94b21d1,0.1,3.5
6b3614a92,0.3,8.2
b6f1e40a5,0.1,1.1
3e101e353,0.1,1.3
8f32c880e,0.4,0.9
b49012dd4,0.0,0.0
1eb1f56ed,0.4,1.8
b41cb9e51,0.4,3.2
5adb4e661,0.3,4.8
98437e7cd,-0.1,0.1
585a4d5b9,0.4,5.2
b0a24f910,0.2,2.4
9cc36a057,0.4,1.4
f231e1f78,0.5,1.1
1e87e4110,0.3,1.8
a46794d88,0.5,2.1
eb30d51aa,0.2,2.3
3b2a0338e,0.5,1.0
48615e613,0.0,3.7
bb90447e5,0.1,2.8
366a4544f,0.1,1.2
02d9e61ca,0.1,2.6
daa7f33d4,0.2,4.6
cc0a49f6f,-0.5,1.0
396910627,0.7,1.4
29edf6e20,0.3,0.3
81532c76f,0.4,3.1
1020c8f00,0.1,3.1
3595648ea,0.1,0.2
5ff1a0cae,0.2,0.2
1b8ef81e3,0.0,0.0
b147d1870,-0.1,3.2
c960bb1bd,0.2,1.2
4140b3b5a,0.2,6.5
7e3d0e3f0,0.8,2.5
8e8d158cf,0.1,1.1
5ecd80dba,0.2,1.1
be9474b85,0.6,1.3
737069cee,-0.1,0.1
4fc4ac031,0.5,5.1
34872e9a7,0.2,1.1
5149bb7f8,0.3,3.9
251e884b7,0.0,1.5
239495f90,0.1,0.1
76042f693,0.2,2.8
11948e0ef,0.5,3.0
c43ecb3e1,0.2,2.3
b940cf8b8,0.1,0.3
b6f77d754,0.3,1.9
08e703dfc,0.3,4.2
439f040ed,0.3,0.3
8a15669da,0.1,3.4
64c6eb71c,0.1,1.8
a8b9d57b4,0.1,1.0
9b344389b,-0.1,2.9
fd9375e71,0.6,0.6
ca9841ab1,0.0,0.0
160dcaec8,0.2,1.4
ceec02726,0.8,1.6
c2016fa08,0.8,1.6
89d4cef63,0.3,1.7
5d3ee6378,0.1,4.3
bbd0c8f36,0.8,0.8
a1686cafa,0.2,2.6
bce639e60,0.8,0.8
dc2ae1787,0.4,0.9
08710204e,0.0,0.0
ba79cfddf,0.1,0.5
30917edfa,0.2,1.1
da7fe1120,-0.1,0.8
429df135c,0.2,3.0
c1c0405ef,0.3,6.6
